City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Petites Anses,15.85,-61.64,75.2,88,100,2.24,GP,1603956494
Magadan,59.57,150.8,29.98,89,100,4.21,RU,1603956494
Charleston,32.78,-79.93,77.0,94,20,8.05,US,1603956494
Tumbagaan,5.37,120.31,84.15,73,0,6.2,PH,1603956495
Esso,55.93,158.7,30.0,94,100,2.75,RU,1603956432
Manche,49.0,-1.17,51.8,87,0,12.75,FR,1603956495
Sarangani,5.4,125.46,84.45,73,68,9.93,PH,1603956495
Tooele,40.53,-112.3,41.0,67,1,4.7,US,1603956362
Ribeira Grande,38.52,-28.7,68.0,94,75,20.8,PT,1603956113
Provideniya,64.38,-173.3,25.7,90,17,4.52,RU,1603956111
Soyo,-6.13,12.37,78.08,83,100,9.55,AO,1603956455
Mozarlândia,-14.74,-50.57,71.89,93,100,2.35,BR,1603956496
Neuquén,-38.95,-68.06,51.8,43,0,4.7,AR,1603956497
Aksu,41.12,80.26,58.57,32,100,1.43,CN,1603956490
Iquitos,-3.75,-73.25,75.47,93,63,2.33,PE,1603956497
Zabul Province,32.25,67.25,63.73,23,0,9.26,AF,1603956497
Longyearbyen,78.22,15.64,23.0,67,75,12.75,SJ,1603956133
Hong Kong,22.29,114.16,80.01,65,97,8.01,HK,1603956064
Cabo San Lucas,22.89,-109.91,66.99,68,32,3.0,MX,1603956424
Līsakovsk,52.54,62.49,34.79,86,0,9.1,KZ,1603956365
Ostrovnoy,68.05,39.51,40.8,89,100,23.31,RU,1603956426
Olbia,40.92,9.49,62.6,77,40,20.8,IT,1603956499
Gigmoto,13.78,124.39,83.97,76,100,11.07,PH,1603956500
Belmonte,-15.86,-38.88,77.0,83,75,6.93,BR,1603956424
Mossamedes,-15.2,12.15,71.98,79,42,4.59,AO,1603956500
Ponta do Sol,32.67,-17.1,68.0,72,40,10.29,PT,1603956053
Santa Cruz de la Sierra,-17.8,-63.17,75.2,88,99,5.82,BO,1603956265
Alta Floresta,-9.88,-56.09,72.66,88,100,1.7,BR,1603956500
Zyryanovsk,49.74,84.27,35.24,77,100,8.01,KZ,1603956500
Labuan,5.28,115.24,87.8,66,20,4.7,MY,1603956345
Salinópolis,-0.61,-47.36,78.69,84,74,10.18,BR,1603956502
Inzer,54.22,57.56,38.52,72,72,3.27,RU,1603956502
Abnūb,27.27,31.15,71.6,73,0,13.87,EG,1603956502
Pangkalanbuun,-2.68,111.62,86.77,74,100,2.84,ID,1603956111
Cayenne,4.93,-52.33,77.0,100,0,8.88,GF,1603955830
Lunglei,22.88,92.73,89.62,44,36,2.93,IN,1603956503
Riyadh,24.69,46.72,75.2,29,0,2.98,SA,1603956064
Tweed,44.48,-77.32,37.99,97,90,2.28,CA,1603956503
Mutare,-18.97,32.67,76.15,32,0,9.44,ZW,1603956504
Nouadhibou,20.93,-17.03,66.2,72,100,20.8,MR,1603956504
Katsuura,35.13,140.3,72.0,52,20,4.7,JP,1603956128
Oakdale,44.96,-92.96,37.4,69,90,12.75,US,1603956504
Bethel,41.37,-73.41,48.0,100,1,1.7,US,1603956058
New Albany,38.29,-85.82,55.4,93,90,12.75,US,1603956505
Port Hedland,-20.32,118.57,87.8,52,0,18.34,AU,1603956421
Makushino,55.21,67.24,34.68,85,100,16.75,RU,1603956505
Codrington,-38.27,141.97,56.53,85,92,5.12,AU,1603956505
Tiksi,71.69,128.87,2.95,92,99,17.13,RU,1603956090
Manaure,11.78,-72.44,81.0,79,100,8.88,CO,1603956506
Rawson,-43.3,-65.1,47.86,47,0,10.87,AR,1603956130
Rio Verde de Mato Grosso,-18.92,-54.84,72.18,90,45,7.18,BR,1603956506
San Jose,37.34,-121.89,59.0,62,1,1.19,US,1603956289
Dunedin,-45.87,170.5,52.0,88,89,14.92,NZ,1603956439
Saiha,22.48,92.97,88.93,44,90,3.83,IN,1603956508
Santa Maria,-29.68,-53.81,62.87,93,90,4.7,BR,1603956508
Klaksvík,62.23,-6.59,46.4,100,3,9.17,FO,1603956089
Iqaluit,63.75,-68.51,15.8,66,90,12.75,CA,1603956082
Caçapava,-23.1,-45.71,64.89,71,3,2.77,BR,1603956509
Guadalupe y Calvo,26.1,-106.97,41.92,77,0,5.41,MX,1603956509
Igrim,63.19,64.42,39.45,92,100,14.25,RU,1603956509
Dhanwār,24.42,85.98,83.34,38,0,9.95,IN,1603956510
Caledonia,42.81,-87.92,44.6,65,1,8.05,US,1603956510
Williams Lake,52.14,-122.14,35.6,93,90,12.75,CA,1603956398
Port Lincoln,-34.73,135.87,58.6,78,100,26.17,AU,1603956063
Povrly,50.67,14.16,46.0,96,100,1.01,CZ,1603956510
Novobirilyussy,56.95,90.67,26.01,92,100,12.8,RU,1603956511
Boddam,57.47,-1.78,39.0,93,4,3.36,GB,1603956512
Kosh-Agach,50.0,88.67,28.56,73,100,10.4,RU,1603956512
Ancud,-41.87,-73.82,41.0,93,0,6.93,CL,1603956104
Saint Charles,38.77,-90.73,46.4,93,90,11.41,US,1603956512
Olutanga,7.31,122.85,86.25,73,30,15.01,PH,1603956512
Maniitsoq,65.42,-52.9,23.0,81,77,3.44,GL,1603956513
Jalu,29.03,21.55,67.5,66,0,3.27,LY,1603956092
Kiryat Gat,31.61,34.76,79.0,20,99,4.0,IL,1603956242
Koumac,-20.57,164.28,77.09,72,74,2.26,NC,1603956442
Bathsheba,13.22,-59.52,77.0,88,20,12.75,BB,1603956085
Zarubino,42.63,131.09,49.17,47,0,16.53,RU,1603956514
Saldanha,-33.01,17.94,62.6,67,21,6.93,ZA,1603956085
Vila Franca do Campo,37.72,-25.43,68.0,88,75,16.11,PT,1603956072
Kanadey,53.17,47.53,38.52,71,0,7.99,RU,1603956515
New Norfolk,-42.78,147.06,60.01,58,99,1.45,AU,1603956073
Prome,18.82,95.22,88.02,73,23,11.83,MM,1603956515
Daoukro,7.06,-3.96,71.96,94,22,0.96,CI,1603956515
Constitución,-35.33,-72.42,47.5,70,0,6.53,CL,1603956126
Kuytun,54.34,101.5,37.22,75,96,0.58,RU,1603956516
Dikson,73.51,80.55,3.34,86,0,17.74,RU,1603956053
Togur,58.36,82.83,16.0,93,100,9.98,RU,1603956517
Lagoa,39.05,-27.98,67.93,87,100,27.42,PT,1603956469
Kushima,31.46,131.23,71.6,68,75,8.05,JP,1603956518
Lubao,14.92,120.55,89.6,62,75,4.7,PH,1603956518
Bariloche,-41.15,-71.31,28.4,79,0,6.93,AR,1603956329
Santa Vitória do Palmar,-33.52,-53.37,55.09,72,55,10.63,BR,1603956518
Usinsk,65.99,57.53,37.94,95,100,27.74,RU,1603956519
Betsiamites,48.94,-68.65,35.6,92,1,9.17,CA,1603956519
Los Algarrobos,8.5,-82.43,61.0,93,100,1.01,PA,1603956519
Gamboma,-1.88,15.86,75.0,84,94,3.31,CG,1603956520
Erzin,36.96,36.2,77.0,73,7,3.96,TR,1603956520
Inhambane,-23.86,35.38,79.7,66,29,11.32,MZ,1603956520
Severnyy,50.68,36.55,42.8,64,0,11.18,RU,1603956521
San Patricio,28.02,-97.52,50.0,75,1,3.36,US,1603956119
Trenggalek,-8.05,111.72,85.89,64,38,6.24,ID,1603956328
Pevek,69.7,170.31,18.34,94,100,13.85,RU,1603956085
Ende,-8.84,121.66,85.12,70,56,1.86,ID,1603956474
Gazli,40.13,63.45,50.47,43,0,18.88,UZ,1603956523
Kumul,42.8,93.45,60.28,28,100,8.97,CN,1603956489
Fortuna,40.6,-124.16,48.2,81,1,6.93,US,1603956079
Okhotsk,59.38,143.3,29.25,92,100,6.98,RU,1603956523
Antalaha,-14.9,50.28,80.31,64,28,11.65,MG,1603956524
Kavieng,-2.57,150.8,84.29,69,97,5.66,PG,1603956095
Fereydūnkenār,36.69,52.52,71.6,68,0,2.24,IR,1603956524
Honiara,-9.43,159.95,82.4,83,75,2.24,SB,1603956525
Honolulu,21.31,-157.86,73.0,88,90,10.29,US,1603956415
Srednekolymsk,67.45,153.68,7.21,93,100,4.74,RU,1603956120
Mayo,38.89,-76.51,62.01,82,90,3.36,US,1603956517
Hirado,33.36,129.55,71.6,49,75,12.75,JP,1603956526
Adrar,20.5,-10.07,73.8,21,4,9.37,MR,1603956063
Tasiilaq,65.61,-37.64,32.0,85,100,20.8,GL,1603956139
Wau,7.7,28.0,87.71,56,0,0.43,SS,1603956526
Fort Dodge,42.5,-94.17,35.6,90,90,10.29,US,1603956527
Avarua,-21.21,-159.78,73.4,83,25,6.93,CK,1603955908
Ritchie,-29.04,24.6,71.6,49,40,6.93,ZA,1603956528
Asău,46.43,26.4,55.0,100,75,3.36,RO,1603956528
Safford,32.83,-109.71,48.0,61,1,6.93,US,1603956528
Butaritari,3.07,172.79,81.77,74,100,6.42,KI,1603956068
Bereket,39.24,55.52,56.93,32,46,26.19,TM,1603956529
Ahipara,-35.17,173.17,62.28,88,100,5.93,NZ,1603956507
Esim,4.87,-2.24,78.26,86,17,4.43,GH,1603956529
Tamandaré,-8.76,-35.1,74.98,84,81,7.56,BR,1603956530
Tuktoyaktuk,69.45,-133.04,14.86,96,100,16.84,CA,1603956072
Adeje,28.12,-16.73,70.0,52,75,9.17,ES,1603956530
Yellowknife,62.46,-114.35,14.0,92,20,6.93,CA,1603956074
Camacha,33.08,-16.33,64.4,88,40,6.93,PT,1603956530
Mar del Plata,-38.0,-57.56,53.01,87,0,10.29,AR,1603956093
Arrondissement de Calais,50.92,1.83,53.01,90,100,1.99,FR,1603956531
Baharly,38.44,57.43,57.79,31,23,17.65,TM,1603956367
Banda Aceh,5.56,95.32,87.17,56,100,13.13,ID,1603956531
Khatanga,71.97,102.5,1.6,88,0,11.56,RU,1603956070
Severo-Kuril'sk,50.68,156.12,43.11,82,100,5.75,RU,1603956091
Cape Town,-33.93,18.42,64.0,67,75,13.87,ZA,1603956054
Oranjestad,12.52,-70.03,82.4,78,20,11.41,AW,1603956532
Carnarvon,-24.87,113.63,77.0,69,79,13.87,AU,1603956053
Udaipur,24.57,73.69,83.23,28,0,7.11,IN,1603956533
Mahébourg,-20.41,57.7,80.01,57,34,13.0,MU,1603956070
Puerto Ayora,-0.74,-90.35,66.99,98,92,5.01,EC,1603956057
Tall Kayf,37.08,41.07,80.6,15,87,5.82,TR,1603956533
Sri Aman,1.24,111.46,84.2,79,40,2.24,MY,1603956533
Pangnirtung,66.15,-65.71,11.61,83,100,3.36,CA,1603956075
Bambous Virieux,-20.34,57.76,80.01,57,60,13.0,MU,1603956071
Hermanus,-34.42,19.23,59.0,77,60,5.99,ZA,1603956053
Kidal,18.44,1.41,76.59,17,0,8.21,ML,1603956536
Barrow,71.29,-156.79,12.2,85,90,11.41,US,1603956072
Hobart,-42.88,147.33,60.8,48,75,11.41,AU,1603955910
Taoudenni,22.68,-3.98,75.04,19,0,11.54,ML,1603956128
Port Elizabeth,-33.92,25.57,66.2,82,0,3.36,ZA,1603956058
Rome,43.21,-75.46,39.0,93,1,1.95,US,1603956434
Bluff,-46.6,168.33,59.0,80,20,3.0,NZ,1603956068
Moose Jaw,50.4,-105.53,14.0,92,100,1.12,CA,1603956537
Lipin Bor,60.26,37.98,45.73,93,100,11.3,RU,1603956537
Kapaa,22.08,-159.32,71.6,94,75,5.82,US,1603956061
Doha,25.29,51.53,87.8,45,0,6.93,QA,1603956373
Kirakira,-10.45,161.92,80.62,81,100,7.02,SB,1603956308
Hithadhoo,-0.6,73.08,83.5,74,1,11.72,MV,1603956052
Qaanaaq,77.48,-69.36,7.57,74,0,7.81,GL,1603956108
Binghamton,42.1,-75.92,43.0,93,90,3.36,US,1603956312
Hilo,19.73,-155.09,78.8,78,1,4.7,US,1603956051
Padang,-0.95,100.35,85.55,64,95,6.06,ID,1603956508
Acarí,-15.43,-74.62,64.65,70,73,3.67,PE,1603956539
Vaini,-21.2,-175.2,71.6,73,75,9.17,TO,1603956057
Yulara,-25.24,130.99,102.2,9,40,19.46,AU,1603956071
Salalah,17.02,54.09,86.0,62,20,10.29,OM,1603956540
Aklavik,68.22,-135.01,21.2,79,97,9.17,CA,1603956541
Punta Arenas,-53.15,-70.92,46.4,65,40,34.45,CL,1603955864
Nikolskoye,59.7,30.79,50.0,87,75,4.47,RU,1603956057
Albany,42.6,-73.97,45.0,90,100,2.91,US,1603956052
Upernavik,72.79,-56.15,15.49,84,100,9.89,GL,1603956077
Cidreira,-30.18,-50.21,67.46,84,84,4.85,BR,1603956088
Diamantino,-14.41,-56.45,73.74,94,100,1.83,BR,1603956542
Yumen,40.28,97.2,59.32,30,70,19.24,CN,1603956471
Moose Factory,51.26,-80.61,17.6,78,1,11.41,CA,1603956069
Rikitea,-23.12,-134.97,74.61,80,100,9.73,PF,1603956052
Kaduna,10.52,7.44,72.81,37,0,5.75,NG,1603956542
Chokurdakh,70.63,147.92,-1.5,92,88,7.07,RU,1603956083
Bredasdorp,-34.53,20.04,66.2,52,98,24.16,ZA,1603956060
Atuona,-9.8,-139.03,77.88,74,0,16.08,PF,1603956067
Jamestown,42.1,-79.24,42.01,93,1,1.9,US,1603956064
Mataura,-46.19,168.86,59.0,80,41,3.0,NZ,1603956057
Busselton,-33.65,115.33,80.01,22,0,5.91,AU,1603956054
Husavik,66.04,-17.34,41.0,80,75,2.24,IS,1603956521
Clyde River,70.47,-68.59,19.4,92,90,18.34,CA,1603956055
Puerto Quijarro,-17.78,-57.77,77.49,85,99,6.06,BO,1603956543
Narsaq,60.92,-46.05,30.2,80,100,4.7,GL,1603956513
Talnakh,69.49,88.4,8.26,81,100,4.14,RU,1603956110
Kamenka,51.32,42.77,39.0,73,0,12.57,RU,1603956544
East London,-33.02,27.91,69.8,83,20,13.87,ZA,1603956085
Kaitangata,-46.28,169.85,53.01,90,15,17.0,NZ,1603956141
Saint-Pierre,-21.34,55.48,75.2,73,75,28.86,RE,1603955843
Port Alfred,-33.59,26.89,69.58,76,100,8.08,ZA,1603956052
Ushuaia,-54.8,-68.3,42.8,81,40,36.91,AR,1603955915
Cherskiy,68.75,161.3,5.18,92,80,3.49,RU,1603956447
Castro,-24.79,-50.01,58.5,50,0,1.92,BR,1603956077
